2019-02-21,23:01:30.490816 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_11'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:30.658378 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_12'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:30.844869 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_13'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:31.017408 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_14'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:31.195930 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_15'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:31.360491 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_16'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:31.511086 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_17'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:31.677641 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_18'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:31.849183 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_19'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:32.023717 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_20'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:32.189275 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_21'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
