2019-02-21,23:04:37.493635 
2019-02-21,23:04:37.497622 
2019-02-21,23:04:37.500612 
2019-02-21,23:04:37.507595 
2019-02-21,23:04:37.532527 i am the current leader. Table={}
2019-02-21,23:04:37.534522 Publisher changes. Table={}
2019-02-21,23:04:37.536517 Subscriber changes. Table={}
2019-02-21,23:04:37.537515 broker started. mode=2, port=5555, znode=/Election/Broker_0000000056
2019-02-21,23:04:54.991834 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_27'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.016761 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_28'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.036710 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_29'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.056654 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_30'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.073611 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_31'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.088571 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_32'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.103531 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_33'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.118489 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_34'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.132453 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_35'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.147413 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_36'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:55.165365 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_37'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
